player_id;name;nationality;position;overall;age;hits;potential;team
158023;Lionel Messi;Argentina;Delantero Centro|Media Punta|Extremo Derecho;94;33;299;94;FC Barcelona 
20801;Cristiano Ronaldo;Portugal;Delantero Centro|Extremo Izquierdo;93;35;276;93;Juventus 
190871;Neymar Jr;Brazil;Medio Centro Ofensivo|Extremo Izquierdo;92;28;186;92;Paris Saint-Germain 
203376;Virgil van Dijk;Netherlands;Defensor Centro;91;29;127;92;Liverpool 
200389;Jan Oblak;Slovenia;Arquero;91;27;47;93;Atlético Madrid 
192985;Kevin De Bruyne;Belgium;Medio Central|Medio Centro Ofensivo;91;29;119;91;Manchester City 
188545;Robert Lewandowski;Poland;Delantero Centro;91;31;89;91;FC Bayern München 
183277;Eden Hazard;Belgium;Delantero Centro|Extremo Izquierdo;91;29;66;91;Real Madrid 
212831;Alisson;Brazil;Arquero;90;27;53;91;Liverpool 
209331;Mohamed Salah;Egypt;Delantero Centro|Extremo Derecho;90;28;94;90;Liverpool 
208722;Sadio Mané;Senegal;Extremo Izquierdo;90;28;76;90;Liverpool 
192448;Marc-André ter Stegen;Germany;Arquero;90;28;68;93;FC Barcelona 
153079;Sergio Agüero;Argentina;Delantero Centro;90;32;50;90;Manchester City 
231747;Kylian Mbappé;France;Delantero Centro|Extremo Derecho|Extremo Izquierdo;89;21;222;95;Paris Saint-Germain 
215914;N'Golo Kanté;France;Medio Centro Defensivo|Medio Central;89;29;75;89;Chelsea 
202126;Harry Kane;England;Delantero Centro;89;27;64;91;Tottenham Hotspur 
194765;Antoine Griezmann;France;Delantero Centro|Media Punta|Extremo Izquierdo;89;29;66;89;FC Barcelona 
182521;Toni Kroos;Germany;Medio Central;89;30;37;89;Real Madrid 
177003;Luka Modric;Croatia;Medio Central;89;34;31;89;Real Madrid 
176580;Luis Suárez;Uruguay;Delantero Centro;89;33;54;89;FC Barcelona 
167495;Manuel Neuer;Germany;Arquero;89;34;42;89;FC Bayern München 
155862;Sergio Ramos;Spain;Defensor Centro;89;34;55;89;Real Madrid 
210257;Ederson;Brazil;Arquero;88;26;40;91;Manchester City 
202652;Raheem Sterling;England;Extremo Derecho|Extremo Izquierdo;88;25;61;90;Manchester City 
201942;Roberto Firmino;Brazil;Media Punta;88;28;79;88;Liverpool 
201024;Kalidou Koulibaly;Senegal;Defensor Centro;88;29;78;90;Napoli 
200145;Casemiro;Brazil;Medio Centro Defensivo;88;28;37;89;Real Madrid 
193080;De Gea;Spain;Arquero;88;29;39;88;Manchester United 
192119;Thibaut Courtois;Belgium;Arquero;88;28;34;89;Real Madrid 
189511;Sergio Busquets;Spain;Medio Centro Defensivo;88;32;34;88;FC Barcelona 
188567;Pierre-Emerick Aubameyang;Gabon;Delantero Centro|Medio Izquierdo;88;31;114;88;Arsenal 
165153;Karim Benzema;France;Delantero Centro|Media Punta;88;32;51;88;Real Madrid 
162835;Samir Handanovic;Slovenia;Arquero;88;36;13;88;Inter 
152729;Piqué;Spain;Defensor Centro;88;33;41;88;FC Barcelona 
138956;Giorgio Chiellini;Italy;Defensor Centro;88;35;19;88;Juventus 
218667;Bernardo Silva;Portugal;Medio Central|Medio Centro Ofensivo|Extremo Derecho;87;25;53;90;Manchester City 
212622;Joshua Kimmich;Germany;Defensor Derecho|Medio Centro Defensivo|Medio Central;87;25;82;90;FC Bayern München 
212218;Aymeric Laporte;France;Defensor Centro;87;26;38;90;Manchester City 
211110;Paulo Dybala;Argentina;Medio Centro Ofensivo|Media Punta;87;26;95;90;Juventus 
200104;Heung Min Son;Korea Republic;Medio Izquierdo|Media Punta;87;28;75;87;Tottenham Hotspur 
199556;Marco Verratti;Italy;Medio Centro Defensivo|Medio Central;87;27;45;88;Paris Saint-Germain 
195864;Paul Pogba;France;Medio Centro Defensivo|Medio Central;87;27;70;88;Manchester United 
193041;Keylor Navas;Costa Rica;Arquero;87;33;28;87;Paris Saint-Germain 
192387;Ciro Immobile;Italy;Delantero Centro;87;30;130;87;Lazio 
190460;Christian Eriksen;Denmark;Medio Derecho|Medio Central|Medio Centro Ofensivo;87;28;48;87;Inter 
189513;Parejo;Spain;Medio Central;87;31;14;87;Valencia CF 
188350;Marco Reus;Germany;Medio Centro Ofensivo|Media Punta;87;31;42;87;Borussia Dortmund 
186153;Wojciech Szczesny;Poland;Arquero;87;30;17;88;Juventus 
183898;Ángel Di María;Argentina;Extremo Derecho|Extremo Izquierdo;87;32;41;87;Paris Saint-Germain 
182493;Diego Godín;Uruguay;Defensor Centro;87;34;16;87;Inter 
178603;Mats Hummels;Germany;Defensor Centro;87;31;18;87;Borussia Dortmund 
175943;Dries Mertens;Belgium;Delantero Centro|Media Punta;87;33;34;87;Napoli 
168542;David Silva;Spain;Medio Central|Medio Centro Ofensivo;87;34;28;87;Manchester City 
167948;Hugo Lloris;France;Arquero;87;33;19;87;Tottenham Hotspur 
164240;Thiago Silva;Brazil;Defensor Centro;87;35;28;87;Paris Saint-Germain 
233049;Jadon Sancho;England;Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo;86;20;300;94;Borussia Dortmund 
232363;Milan Škriniar;Slovakia;Defensor Centro;86;25;62;90;Inter 
228702;Frenkie de Jong;Netherlands;Medio Central;86;23;126;92;FC Barcelona 
222492;Leroy Sané;Germany;Extremo Izquierdo;86;24;74;90;Manchester City 
220440;Clément Lenglet;France;Defensor Centro;86;25;58;90;FC Barcelona 
216267;Andrew Robertson;Scotland;Defensor Izquierdo;86;26;66;89;Liverpool 
212198;Bruno Fernandes;Portugal;Medio Central|Medio Centro Ofensivo;86;25;127;89;Manchester United 
212188;Timo Werner;Germany;Delantero Centro;86;24;136;89;RB Leipzig 
209499;Fabinho;Brazil;Medio Centro Defensivo;86;26;44;88;Liverpool 
208830;Jamie Vardy;England;Delantero Centro;86;33;43;86;Leicester City 
208670;Hakim Ziyech;Morocco;Medio Centro Ofensivo|Extremo Derecho;86;27;113;87;Ajax 
207865;Marquinhos;Brazil;Defensor Centro|Medio Centro Defensivo;86;26;48;90;Paris Saint-Germain 
204485;Riyad Mahrez;Algeria;Medio Derecho|Extremo Derecho;86;29;40;86;Manchester City 
201535;Raphaël Varane;France;Defensor Centro;86;27;39;89;Real Madrid 
201399;Mauro Icardi;Argentina;Delantero Centro;86;27;47;87;Paris Saint-Germain 
198219;Lorenzo Insigne;Italy;Medio Izquierdo|Media Punta|Extremo Izquierdo;86;29;42;86;Napoli 
193747;Koke;Spain;Medio Derecho|Medio Izquierdo|Medio Central;86;28;15;86;Atlético Madrid 
192505;Romelu Lukaku;Belgium;Delantero Centro;86;27;63;87;Inter 
189509;Thiago;Spain;Medio Centro Defensivo|Medio Central;86;29;47;86;FC Bayern München 
